Nonprofit educating college women for careers in asset management. Vision: 30% of investable assets managed by women by 2030. Programs: Summer Intensive, Online Intensive, Alumni Career Institute -- all tuition-free. 4,000+ alumni. 130 partner firms. 75%+ alumni stay in industry. No fees.	Katherine Jollon Colsher, President & CEO (linkedin.com/in/katherine-jollon-colsher) New York, NY; Seema Hingorani, Founder & Board Chair (linkedin.com/in/seema-hingorani-6156b85) New York, NY
Values-aligned investing education for women. Programs: expert-led courses, peer-led Circles (8-20 women, 6-month program), monthly events. Focus: climate justice, gender equity, local economies. 2,500+ women in community. Free to start. 80% of participants begin impact investing.	Janine Firpo, Co-Founder (linkedin.com/in/janine-firpo-047282) Oakland, CA; Ellen Remmer, Co-Founder (linkedin.com/in/ellen-remmer-8503762) Boston, MA
Angel investing network + bootcamp closing gender gap. Bootcamp: NYC + online, ~4x/year. 80+ women angel investors. Membership: $4,500 first year (includes training), $3,000/year after. Must be accredited. Min check: $25K. Deals $50K-$200K. Stage: seed. Sectors: health & wellness, future of work, life sciences (23%), consumer (21%). Reviews ~2,500 cos/year, invests in ~10.	Angela Lee, Founder & CEO (linkedin.com/in/hiangela) New York, NY
Angel investing bootcamp for women (cis, trans, non-binary). 3-day virtual bootcamp covers bias training, valuations, due diligence, term sheets. 300+ members invested $5M+ in 50+ companies. Min investment: $5,000 per pitch summit. Must be accredited. Sold to IFEL in 2023.	Jill Johnson, CEO (linkedin.com/in/smallbizexpert) Newark, NJ; Natalia Oberti Noguera, Founder (linkedin.com/in/nataliaobertinoguera) New York, NY
Nonprofit educating angel investors and entrepreneurs. 400+ courses across 38 states and 40 countries. Publishes Halo Report (with PitchBook) on angel investment trends. Not a fund -- training and research org. No public membership fees.	Gwen Edwards, Chair & Lead Instructor (linkedin.com/in/gwencedwards) San Francisco, CA; Susan Preston, Trustee & Lead Instructor (linkedin.com/in/susanpreston) Seattle, WA
Founded 2015 to get 1,000 women to make first angel investment. Angel Academy: 8-week self-paced training. Acquired by Highline Beta in 2017. Members co-invest alongside Highline Beta. NOTE: femalefunders.com now redirects to highlinebeta.com.	Katherine Hague, Founder -- Toronto, ON (Canada)
US Dept of Commerce trade program. Mentorship and investment matchmaking for women-led tech companies. Government-run initiative.	US Dept of Commerce
Nonprofit creating pathways for women in tech leadership. Angel Program: 2-day intensive with Alba Graduate Business School (Greece). Covers valuations, due diligence, term sheets. Cost: 800 euros. 3-month mentoring + women investor network. 7,000+ online community. NOTE: Greece-based.	Eleni Aktypi, Managing Director (linkedin.com/in/elenidaktypi) Athens, Greece
One of largest US angel networks for women-led startups. Founded 2004. 1,150+ investors, 9 chapters, 28 states. Invested $195M in 274+ women-led companies, generating $2.5B+ in follow-on. Stage: early-stage (pre-money <$5M). Seeks $250K-$2M raises. Accredited investors. Initiation fee + annual dues (contact for pricing).	Loretta McCarthy, Co-CEO & Managing Partner (linkedin.com/in/loretta-mccarthy-b885a) New York, NY; Jo Ann Corkran, Co-CEO & Managing Partner (linkedin.com/in/jo-ann-corkran-06600531) New York, NY
Largest US VC with gender lens. $500M+ AUM. Fund III: $250M. Checks: $2M-$10M. Stage: Late Seed through Series C. Targets $500K-$15M ARR. Sectors: healthcare, education, sustainability, economic opportunity. Requires female CEO or women in C-level roles with equity.	Jenny Abramson, Founder & Managing Partner (linkedin.com/in/jenny-abramson-bb75297) Washington, DC; Heidi Krauel Patel, Managing Partner (linkedin.com/in/heidi-krauel-patel-a4b5) San Francisco, CA
Seed-stage VC investing exclusively in female-founded companies. ~$140M across 5 funds. Fund IV: $29M (Dec 2025). Sectors: digital healthcare, AI, beauty, deep tech, e-commerce, fintech. 100+ portfolio cos. Notable: Billie ($310M acq), Rent the Runway (IPO), Maven Clinic.	Anu Duggal, Founding Partner (linkedin.com/in/anu-duggal-568222) New York, NY
Seed-stage fund. Checks: $500K-$4M. $260M AUM. Fund IV: $140M seed + Mustang I $120M follow-on. ~70% pre-product. Sectors: Enterprise, Fintech, Software Infrastructure, Healthcare, Consumer, Future of Work. 90% graduation rate to Series A. One of first female-led VC firms.	Aileen Lee, Founder & Managing Partner (linkedin.com/in/aileenwlee) Palo Alto, CA; Caroline Duffy, Partner (linkedin.com/in/caroline-duffy-vc) Palo Alto, CA
Crowdfunding platform (now IFW by Honeycomb Credit) for women-owned businesses. Reward-based crowdfunding, investment crowdfunding, grants ($2,500-$100K), SBA loans. 500,000+ founders/funders. 20,000+ startups raised $200M+. Fees: 5% platform + 3-5% processing. Dedicated IFundWomen of Color initiative.	Karen Cahn, Founder & CEO (linkedin.com/in/karen-cahn) New York, NY
Women-led angel group co-investing in early-stage startups. First check through later rounds. Individual angels invest $1,000+; collective invests $10K-$100K. Cost: $250/year membership + $3,000 min annual investment + 3% carry. No sourcing fees. 51%+ women investors and POC.	Desiree Vargas Wrigley, Co-Founder (linkedin.com/in/desireevw) Chicago, IL
Global angel network investing in companies with women in leadership with equity. Founded 1999. Astia Fund I: $32M Series A/B fund. Astia Edge: seed for Black and Latina women CEOs. $36M deployed into 64 cos. Sectors: SaaS, EdTech, FinTech, Energy, AI, Life Sciences. Expert Sift bias-free screening.	Sharon Vosmek, CEO & Managing Partner (linkedin.com/in/sharonvosmek) San Francisco, CA; Victoria Pettibone, CIO & Managing Partner (linkedin.com/in/victoriapettibone) New York, NY
Angel investing community by Hustle Fund. Pre-seed/seed in early software startups. Angel Squad: invest alongside fund, min $1,000/deal. 2,000+ members from 40+ countries, $30M+ invested across 70+ cos. Free 14-day trial. Sectors: Software, B2B, Fintech, Digital Health.	Elizabeth Yin, Co-Founder & GP (linkedin.com/in/elizabethyin) San Francisco, CA; Eric Bahn, Co-Founder & GP (linkedin.com/in/ericbahn) San Francisco, CA
Venture funds designed by/for women. Min investment: $10K; avg $35K. 14 thematic funds, ~2,000 women LPs, 120+ companies incl unicorns. Themes: Womens Health, Active Aging, Sustainability, Fintech, Rising America. Each fund: ~10 cos over 12-18 months. Max 249 investors/fund. Most active investor in womens health (60+ investments).	Trish Costello, Founder & CEO (linkedin.com/in/trishcostello1) San Mateo, CA
Impact angel education fund. 99 women per fund, min $30K investment. Fund invests $100K-$250K per company; $250K-$500K follow-ons. 12-16 impact companies over 2 years. Focus: education, health, food sustainability, clean energy, aging. 100% portfolio led by women and POC.	Alicia Robb, Founder & CEO (linkedin.com/in/alicia-robb-a888228) Kanab, UT
---SKIP TO ROW 126---
NYC and London early-stage VC investing exclusively in women-founded companies. Fund + angel membership syndicate. Angel Membership: $750/year, $2,500 min check, ~2.5% admin fee, 20% carry. No accredited investor requirement to join. Six-part masterclass. Sectors: EV infrastructure, aerospace, climate tech, maternal health. 50K newsletter subscribers.	Lindsey Taylor Wood, Founder & GP (linkedin.com/in/lindseytaylorwood) New York, NY; Olivia Fleming, Partner (linkedin.com/in/olivia-fleming-88186b46) New York, NY
VC fund from How Women Lead (25,000+ member network). 100% women-led, 50% WOC. Fund I ($10M): Late Seed-Series B. Fund II ($10M): Seed. Checks: $250K-$2M (seed) to $2M-$5M (Series A/B). Min LP: $25,000 over 4 years. 600+ first-time LPs. Sectors: Health, Future of Work, Fintech, Biotech, Climate.	Julie Castro Abrams, Managing Partner (linkedin.com/in/julie-castro-abrams) San Francisco, CA
Early-stage VC, $111M fund. Pre-Seed ($100K-$300K), Seed ($250K-$500K), Series A follow-ons. 85+ portfolio cos, 16 unicorns, $33B+ valuations. Sectors: Fintech, Healthcare, Consumer Tech, AI, Climate. 79% underrepresented founders, 54% women, 47% Black.	Serena Williams, Founder (linkedin.com/in/serena-williams-99612b205) Palm Beach Gardens, FL; Beth Ferreira, General Partner (linkedin.com/in/bethmferreira) New York, NY
